Accession	Protein_id	Product_name	Note	Codon_start
AY954969	AAX92278.1	ORF245	G1ORF245	1
AY954969	AAX92171.1	ORF090	G1ORF090	1
AY954969	AAX92153.1	ORF072	G1ORF072	1
AY954969	AAX92158.1	ORF077	G1ORF077	1
AY954969	AAX92281.1	ORF256	G1ORF256	1
AY954969	AAX92234.1	ORF163	G1ORF163	1
AY954969	AAX92120.1	ORF038	G1ORF038	1
AY954969	AAX92106.1	ORF024	G1ORF024	1
AY954969	AAX92209.1	ORF134	G1ORF134	1
AY954969	AAX92185.1	ORF106	G1ORF106	1
AY954969	AAX92222.1	ORF149	G1ORF149	1
AY954969	AAX92269.1	ORF228	G1ORF228	1
AY954969	AAX92282.1	ORF259	G1ORF259	1
AY954969	AAX92089.1	ORF007	G1ORF007	1
AY954969	AAX92288.1	ORF309	G1ORF309	1
AY954969	AAX92240.1	ORF172	G1ORF172	1
AY954969	AAX92150.1	ORF068	G1ORF068	1
AY954969	AAX92143.1	ORF061	G1ORF061	1
AY954969	AAX92114.1	ORF032	G1ORF032	1
AY954969	AAX92131.1	ORF049	G1ORF049	1
AY954969	AAX92145.1	ORF063	G1ORF063	1
AY954969	AAX92177.1	ORF096	G1ORF096	1
AY954969	AAX92265.1	ORF222	G1ORF222	1
AY954969	AAX92139.1	ORF057	G1ORF057	1
AY954969	AAX92250.1	ORF187	G1ORF187	1
AY954969	AAX92252.1	ORF190	G1ORF190	1
AY954969	AAX92136.1	ORF054	G1ORF054	1
AY954969	AAX92140.1	ORF058	G1ORF058	1
AY954969	AAX92126.1	ORF044	G1ORF044	1
AY954969	AAX92220.1	ORF146	G1ORF146	1
AY954969	AAX92142.1	ORF060	G1ORF060	1
AY954969	AAX92165.1	ORF084	G1ORF084	1
AY954969	AAX92124.1	ORF042	G1ORF042	1
AY954969	AAX92164.1	ORF083	G1ORF083	1
AY954969	AAX92271.1	ORF233	G1ORF233	1
AY954969	AAX92254.1	ORF200	G1ORF200	1
AY954969	AAX92257.1	ORF207	G1ORF207	1
AY954969	AAX92258.1	ORF209	G1ORF209	1
AY954969	AAX92237.1	ORF169	G1ORF169	1
AY954969	AAX92236.1	ORF168	G1ORF168	1
AY954969	AAX92232.1	ORF161	G1ORF161	1
AY954969	AAX92208.1	ORF133	G1ORF133	1
MK770119	QCW23739.1	terminase small subunit		1
MK770119	QCW23740.1	terminase large subunit		1
MK770119	QCW23741.1	hypothetical protein		1
MK770119	QCW23742.1	portal protein		1
MK770119	QCW23743.1	structural protein containing Ig-like domain		1
MK770119	QCW23744.1	prohead protease		1
MK770119	QCW23745.1	major capsid protein		1
MK770119	QCW23746.1	putative head-tail connector		1
MK770119	QCW23747.1	putative tail completion protein		1
MK770119	QCW23748.1	tail terminator protein		1
MK770119	QCW23749.1	major tail protein		1
MK770119	QCW23750.1	putative minor tail protein		1
MK770119	QCW23751.1	putative tape measure chaperone		1
MK770119	QCW23752.1	putative tape measure chaperone		1
MK770119	QCW23753.1	tape measure protein		1
MK770119	QCW23754.1	distal tail protein		1
MK770119	QCW23755.1	putative tail protein		1
MK770119	QCW23756.1	putative tail protein		1
MK770119	QCW23757.1	putative tail protein		1
MK770119	QCW23758.1	tail fiber protein		1
MK770119	QCW23759.1	tail fiber protein		1
MK770119	QCW23760.1	deoxyUTP pyrophosphatase		1
MK770119	QCW23761.1	exodeoxyribonuclease		1
MK770119	QCW23762.1	putative holliday junction resolvase		1
MK770119	QCW23763.1	recombination-related endonuclease		1
MK770119	QCW23764.1	recombination-related endonuclease		1
MK770119	QCW23765.1	putative ssDNA binding protein		1
MK770119	QCW23766.1	hypothetical protein		1
MK770119	QCW23767.1	ATP-dependent DNA helicase		1
MK770119	QCW23768.1	hypothetical protein		1
MK770119	QCW23769.1	DNA polymerase I		1
MK770119	QCW23770.1	DNA primase		1
MK770119	QCW23771.1	replicative DNA helicase		1
MK770119	QCW23772.1	putative transcription factor		1
MK770119	QCW23773.1	NAD-dependent DNA ligase, subunit B		1
MK770119	QCW23774.1	hypothetical protein		1
MK770119	QCW23775.1	NAD-dependent DNA ligase, subunit A		1
MK770119	QCW23776.1	putative DNA processing protein	putative DNA processing protein DprA	1
MK770119	QCW23777.1	putative nucleoside triphosphate pyrophosphohydrolase		1
MK770119	QCW23778.1	hypothetical protein		1
MK770119	QCW23779.1	hypothetical protein		1
MK770119	QCW23780.1	putative transcriptional coactivator		1
MK770119	QCW23781.1	hypothetical protein		1
MK770119	QCW23782.1	hypothetical protein		1
MK770119	QCW23783.1	hypothetical protein		1
MK770119	QCW23784.1	hypothetical protein		1
MK770119	QCW23785.1	putative ATP-dependent RNA helicase		1
MK770119	QCW23786.1	hypothetical protein		1
MK770119	QCW23787.1	hypothetical protein		1
MK770119	QCW23788.1	hypothetical protein		1
MK770119	QCW23789.1	Sir2-like protein		1
MK770119	QCW23790.1	hypothetical protein		1
MK770119	QCW23791.1	hypothetical protein		1
MK770119	QCW23792.1	PhoH-like protein		1
MK770119	QCW23793.1	hypothetical protein		1
MK770119	QCW23794.1	ribonucleoside-diphosphate reductase, alpha subunit		1
MK770119	QCW23795.1	ribonucleoside-diphosphate reductase, beta subunit		1
MK770119	QCW23796.1	dihydrofolate reductase		1
MK770119	QCW23797.1	thymidylate synthase		1
MK770119	QCW23798.1	protease		1
MK770119	QCW23799.1	ribonuclease H		1
MK770119	QCW23800.1	hypothetical protein		1
MK770119	QCW23801.1	hypothetical protein		1
MK770119	QCW23802.1	hypothetical protein		1
MK770119	QCW23803.1	hypothetical protein		1
MK770119	QCW23804.1	hypothetical protein		1
MK770119	QCW23805.1	hypothetical protein		1
MK770119	QCW23806.1	putative metallopeptidase		1
MK770119	QCW23807.1	hypothetical protein		1
MK770119	QCW23808.1	hypothetical protein		1
MK770119	QCW23809.1	hypothetical protein		1
MK770119	QCW23810.1	cell wall hydrolyse		1
MK770119	QCW23811.1	hypothetical protein		1
MK770119	QCW23812.1	hypothetical protein		1
MK770119	QCW23813.1	YqeY-like protein		1
MK770119	QCW23814.1	hypothetical protein		1
MK770119	QCW23815.1	hypothetical protein		1
MK770119	QCW23816.1	hypothetical protein		1
MK770119	QCW23817.1	hypothetical protein		1
MK770119	QCW23818.1	hypothetical protein		1
MK770119	QCW23819.1	hypothetical protein		1
MK770119	QCW23820.1	hypothetical protein		1
MK770119	QCW23821.1	hypothetical protein		1
MK770119	QCW23822.1	hypothetical protein		1
MK770119	QCW23823.1	hypothetical protein		1
MK770119	QCW23824.1	hypothetical protein		1
MK770119	QCW23825.1	hypothetical protein		1
MK770119	QCW23826.1	hypothetical protein		1
MK770119	QCW23827.1	hypothetical protein		1
MK770119	QCW23828.1	hypothetical protein		1
MK770119	QCW23829.1	hypothetical protein		1
MK770119	QCW23830.1	hypothetical protein		1
MK770119	QCW23831.1	hypothetical protein		1
MK770119	QCW23832.1	hypothetical protein		1
MK770119	QCW23833.1	hypothetical protein		1
MK770119	QCW23834.1	hypothetical protein		1
MK770119	QCW23835.1	hypothetical protein		1
MK770119	QCW23836.1	hypothetical protein		1
MK770119	QCW23837.1	hypothetical protein		1
MK770119	QCW23838.1	hypothetical protein		1
MK770119	QCW23839.1	endonuclease V	DenV endonuclease V, N-glycosylase UV repair enzyme	1
MK770119	QCW23840.1	hypothetical protein		1
MK770119	QCW23841.1	hypothetical protein		1
MK770119	QCW23842.1	HNH endonuclease		1
MK770119	QCW23843.1	hypothetical protein		1
MK770119	QCW23844.1	hypothetical protein		1
MK770119	QCW23845.1	hypothetical protein		1
MK770119	QCW23846.1	hypothetical protein		1
MK770119	QCW23847.1	hypothetical protein		1
MK770119	QCW23848.1	hypothetical protein		1
MK770119	QCW23849.1	hypothetical protein		1
MK770119	QCW23850.1	hypothetical protein		1
MK770119	QCW23851.1	hypothetical protein		1
MK770119	QCW23852.1	hypothetical protein		1
MK770119	QCW23853.1	hypothetical protein		1
MK770119	QCW23854.1	hypothetical protein		1
MK770119	QCW23855.1	HNH endonuclease		1
MK770119	QCW23856.1	hypothetical protein		1
MK770119	QCW23857.1	hypothetical protein		1
MK770119	QCW23858.1	hypothetical protein		1
MK770119	QCW23859.1	hypothetical protein		1
MK770119	QCW23860.1	hypothetical protein		1
MK770119	QCW23861.1	hypothetical protein		1
MK770119	QCW23862.1	hypothetical protein		1
MK770119	QCW23863.1	hypothetical protein		1
MK770119	QCW23864.1	hypothetical protein		1
MK770119	QCW23865.1	hypothetical protein		1
MK770119	QCW23866.1	hypothetical protein		1
MK770119	QCW23867.1	hypothetical protein		1
MK770119	QCW23868.1	hypothetical protein		1
MK770119	QCW23869.1	hypothetical protein		1
MK770119	QCW23870.1	hypothetical protein		1
MK770119	QCW23871.1	deoxynucleoside-5'-monophosphate kinase		1
MK770119	QCW23872.1	ATP-dependent Clp protease		1
MK770119	QCW23873.1	holin		1
MK770119	QCW23874.1	lysozyme		1
MK770119	QCW23875.1	hypothetical protein		1
MK770119	QCW23876.1	hypothetical protein		1
MK770119	QCW23877.1	thioredoxin		1
MK770119	QCW23878.1	hypothetical protein		1
MK770119	QCW23879.1	hypothetical protein		1
MK770119	QCW23880.1	hypothetical protein		1
MK770119	QCW23881.1	serine/threonine protein phosphatase		1
MK770119	QCW23882.1	hypothetical protein		1
MK770119	QCW23883.1	hypothetical protein	DUF3850 domain-containing protein	1
MK770119	QCW23884.1	hypothetical protein		1
MK770119	QCW23885.1	hypothetical protein		1
MK770119	QCW23886.1	hypothetical protein		1
MK770119	QCW23887.1	hypothetical protein		1
MK770119	QCW23888.1	hypothetical protein		1
MK770119	QCW23889.1	hypothetical protein		1
MK770119	QCW23890.1	hypothetical protein		1
MK770119	QCW23891.1	hypothetical protein		1
MK770119	QCW23892.1	putative EPS-depolymerase		1
MK770119	QCW23893.1	hypothetical protein		1
MK770119	QCW23894.1	hypothetical protein		1
MK770119	QCW23895.1	hypothetical protein		1
MK770119	QCW23896.1	hypothetical protein		1
MK770119	QCW23897.1	hypothetical protein		1
MK770119	QCW23898.1	hypothetical protein		1
MK770119	QCW23899.1	hypothetical protein		1
MK770119	QCW23900.1	hypothetical protein		1
MK770119	QCW23901.1	hypothetical protein		1
MK770119	QCW23902.1	hypothetical protein		1
MK770119	QCW23903.1	hypothetical protein		1
MK770119	QCW23904.1	putative peptidyl-tRNA hydrolase		1
MK770119	QCW23905.1	hypothetical protein		1
MK770119	QCW23906.1	hypothetical protein		1
MK770119	QCW23907.1	hypothetical protein		1
MK770119	QCW23908.1	hypothetical protein		1
MK770119	QCW23909.1	hypothetical protein		1
MK770119	QCW23910.1	hypothetical protein		1
MK770119	QCW23911.1	hypothetical protein		1
MK770119	QCW23912.1	hypothetical protein		1
MK770119	QCW23913.1	hypothetical protein		1
MK770119	QCW23914.1	hypothetical protein		1
MK770119	QCW23915.1	hypothetical protein		1
MK770119	QCW23916.1	hypothetical protein		1
MK770119	QCW23917.1	hypothetical protein		1
MK770119	QCW23918.1	hypothetical protein		1
MK770119	QCW23919.1	hypothetical protein		1
MK770119	QCW23920.1	hypothetical protein		1
MK770119	QCW23921.1	hypothetical protein		1
MK770119	QCW23922.1	hypothetical protein		1
MK770119	QCW23923.1	hypothetical protein		1
MK770119	QCW23924.1	hypothetical protein		1
MK770119	QCW23925.1	hypothetical protein		1
MK770119	QCW23926.1	hypothetical protein		1
MK770119	QCW23927.1	hypothetical protein		1
MK770119	QCW23928.1	hypothetical protein		1
MK770119	QCW23929.1	hypothetical protein		1
MK770119	QCW23930.1	hypothetical protein		1
MK770119	QCW23931.1	hypothetical protein		1
MK770119	QCW23932.1	hypothetical protein		1
MK770119	QCW23933.1	hypothetical protein		1
MK770119	QCW23934.1	hypothetical protein		1
MK770119	QCW23935.1	hypothetical protein		1
MK770119	QCW23936.1	hypothetical protein		1
MK770119	QCW23937.1	hypothetical protein		1
MK770119	QCW23938.1	hypothetical protein		1
MK770119	QCW23939.1	hypothetical protein		1
MK770119	QCW23940.1	hypothetical protein		1
MK770119	QCW23941.1	hypothetical protein		1
MK770119	QCW23942.1	A2 protein		1
MK770119	QCW23943.1	hypothetical protein		1
MK770119	QCW23944.1	A1 protein		1
MK770119	QCW23945.1	hypothetical protein		1
MK770119	QCW23946.1	deoxynucleoside-5'-monophosphatase		1
MK770119	QCW23947.1	hypothetical protein		1
MK770119	QCW23948.1	hypothetical protein		1
MK770119	QCW23949.1	hypothetical protein		1
MK770119	QCW23950.1	hypothetical protein		1
MK770119	QCW23951.1	receptor binding protein		1
MZ616364	QYC51492.1	putative terminase small subunit		1
MZ616364	QYC51493.1	putative terminase large subunit		1
MZ616364	QYC51494.1	putative nicking endonuclease		1
MZ616364	QYC51495.1	putative portal protein		1
MZ616364	QYC51496.1	putative decoration protein		1
MZ616364	QYC51497.1	putative prohead protease		1
MZ616364	QYC51498.1	putative major head protein		1
MZ616364	QYC51499.1	putative head completion protein		1
MZ616364	QYC51500.1	putative tail completion protein		1
MZ616364	QYC51501.1	putative tail terminator protein		1
MZ616364	QYC51502.1	putative major tail tube protein		1
MZ616364	QYC51503.1	putative minor tail protein		1
MZ616364	QYC51504.1	putative chaperone		1
MZ616364	QYC51505.1	putative chaperone		1
MZ616364	QYC51506.1	putative tape measure protein		1
MZ616364	QYC51507.1	putative distal tail protein		1
MZ616364	QYC51508.1	putative baseplate hub protein		1
MZ616364	QYC51509.1	putative central straight fiber		1
MZ616364	QYC51510.1	putative collar/L-shaped fiber protein		1
MZ616364	QYC51511.1	putative L-shaped tail fiber protein		1
MZ616364	QYC51512.1	putative tail fiber protein		1
MZ616364	QYC51513.1	putative deoxyUTP pyrophosphatase		1
MZ616364	QYC51514.1	putative flap endonuclease		1
MZ616364	QYC51515.1	putative holliday junction resolvase		1
MZ616364	QYC51516.1	putative recombination endonuclease		1
MZ616364	QYC51517.1	putative recombination endonuclease		1
MZ616364	QYC51518.1	putative ssDNA-binding protein		1
MZ616364	QYC51519.1	hypothetical protein		1
MZ616364	QYC51520.1	putative helicase		1
MZ616364	QYC51521.1	hypothetical protein		1
MZ616364	QYC51522.1	putative DNA polymerase		1
MZ616364	QYC51523.1	putative DNA replication primase		1
MZ616364	QYC51524.1	putative replicative DNA helicase		1
MZ616364	QYC51525.1	putative transcription factor		1
MZ616364	QYC51526.1	putative NAD-dependent DNA ligase, subunit B		1
MZ616364	QYC51527.1	hypothetical protein		1
MZ616364	QYC51528.1	putative NAD-dependent DNA ligase, subunit A		1
MZ616364	QYC51529.1	hypothetical protein		1
MZ616364	QYC51530.1	hypothetical protein		1
MZ616364	QYC51531.1	hypothetical protein		1
MZ616364	QYC51532.1	hypothetical protein		1
MZ616364	QYC51533.1	hypothetical protein		1
MZ616364	QYC51534.1	hypothetical protein		1
MZ616364	QYC51535.1	hypothetical protein		1
MZ616364	QYC51536.1	hypothetical protein		1
MZ616364	QYC51537.1	hypothetical protein		1
MZ616364	QYC51538.1	putative replication origin binding protein		1
MZ616364	QYC51539.1	hypothetical protein		1
MZ616364	QYC51540.1	putative NAD-dependent protein deacetylase, SIR2 family		1
MZ616364	QYC51541.1	hypothetical protein		1
MZ616364	QYC51542.1	hypothetical protein		1
MZ616364	QYC51543.1	putative phosphate starvation-inducible protein	putative phosphate starvation-inducible protein PhoH	1
MZ616364	QYC51544.1	hypothetical protein		1
MZ616364	QYC51545.1	putative ribonucleotide reductase, alpha subunit		1
MZ616364	QYC51546.1	putative ribonucleotide reductase, beta subunit		1
MZ616364	QYC51547.1	putative dihydrofolate reductase		1
MZ616364	QYC51548.1	putative thymidylate synthase		1
MZ616364	QYC51549.1	hypothetical protein		1
MZ616364	QYC51550.1	hypothetical protein		1
MZ616364	QYC51551.1	hypothetical protein		1
MZ616364	QYC51552.1	putative ribonuclease H		1
MZ616364	QYC51553.1	hypothetical protein		1
MZ616364	QYC51554.1	hypothetical protein		1
MZ616364	QYC51555.1	hypothetical protein		1
MZ616364	QYC51556.1	hypothetical protein		1
MZ616364	QYC51557.1	hypothetical protein		1
MZ616364	QYC51558.1	hypothetical protein		1
MZ616364	QYC51559.1	putative metallopeptidase		1
MZ616364	QYC51560.1	hypothetical protein		1
MZ616364	QYC51561.1	hypothetical protein		1
MZ616364	QYC51562.1	hypothetical protein		1
MZ616364	QYC51563.1	putative cell wall hydrolase		1
MZ616364	QYC51564.1	hypothetical protein		1
MZ616364	QYC51565.1	hypothetical protein		1
MZ616364	QYC51566.1	hypothetical protein		1
MZ616364	QYC51567.1	hypothetical protein		1
MZ616364	QYC51568.1	hypothetical protein		1
MZ616364	QYC51569.1	hypothetical protein		1
MZ616364	QYC51570.1	hypothetical protein		1
MZ616364	QYC51571.1	hypothetical protein		1
MZ616364	QYC51572.1	hypothetical protein		1
MZ616364	QYC51573.1	hypothetical protein		1
MZ616364	QYC51574.1	hypothetical protein		1
MZ616364	QYC51575.1	hypothetical protein		1
MZ616364	QYC51576.1	hypothetical protein		1
MZ616364	QYC51577.1	hypothetical protein		1
MZ616364	QYC51578.1	hypothetical protein		1
MZ616364	QYC51579.1	hypothetical protein		1
MZ616364	QYC51580.1	hypothetical protein		1
MZ616364	QYC51581.1	hypothetical protein		1
MZ616364	QYC51582.1	hypothetical protein		1
MZ616364	QYC51583.1	hypothetical protein		1
MZ616364	QYC51584.1	hypothetical protein		1
MZ616364	QYC51585.1	hypothetical protein		1
MZ616364	QYC51586.1	hypothetical protein		1
MZ616364	QYC51587.1	hypothetical protein		1
MZ616364	QYC51588.1	putative endonuclease V		1
MZ616364	QYC51589.1	hypothetical protein		1
MZ616364	QYC51590.1	hypothetical protein		1
MZ616364	QYC51591.1	hypothetical protein		1
MZ616364	QYC51592.1	hypothetical protein		1
MZ616364	QYC51593.1	hypothetical protein		1
MZ616364	QYC51594.1	hypothetical protein		1
MZ616364	QYC51595.1	hypothetical protein		1
MZ616364	QYC51596.1	hypothetical protein		1
MZ616364	QYC51597.1	hypothetical protein		1
MZ616364	QYC51598.1	hypothetical protein		1
MZ616364	QYC51599.1	hypothetical protein		1
MZ616364	QYC51600.1	hypothetical protein		1
MZ616364	QYC51601.1	hypothetical protein		1
MZ616364	QYC51602.1	hypothetical protein		1
MZ616364	QYC51603.1	hypothetical protein		1
MZ616364	QYC51604.1	hypothetical protein		1
MZ616364	QYC51605.1	hypothetical protein		1
MZ616364	QYC51606.1	hypothetical protein		1
MZ616364	QYC51607.1	hypothetical protein		1
MZ616364	QYC51608.1	hypothetical protein		1
MZ616364	QYC51609.1	hypothetical protein		1
MZ616364	QYC51610.1	hypothetical protein		1
