ICTV_ID	Isolate_ID	Exemplar_Additional	Accession_Index	Segment_Name	Accession	Start_Loc	End_Loc	Sort	Isolate_Sort	Original_GENBANK_Accessions	Errors	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	Virus_Names
ICTV20084110	VMR1000009	E	1		AJ854042			11	1	AJ854042		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Deltalipothrixvirus		Deltalipothrixvirus pozzuoliense	Acidianus filamentous virus 2
ICTV202011720	VMR1000011	E	1		FM164764			12	1	FM164764		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Azorudivirus		Azorudivirus furnasense	Stygiolobus rod-shaped virus
ICTV202011717	VMR1000013	E	1		MN876842			13	1	MN876842		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus acidiani	Acidianus rod-shaped virus 3
ICTV202011718	VMR1000014	E	1		MN876843			14	1	MN876843		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus metallosphaerae	Metallosphaera rod-shaped virus 1
ICTV202011716	VMR1000012	E	1		KP282675			15	1	KP282675		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus pozzuoliense	Acidianus rod-shaped virus 2
ICTV202011719	VMR1000015	E	1		MN876841			16	1	MN876841		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus saccharolobi	Saccharolobus solfataricus rod-shaped virus 1
ICTV202011709	VMR1000018	E	1		KX712143			17	1	KX712143		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Icerudivirus		Icerudivirus gunnuhverense	Sulfolobus islandicus rod-shaped virus 3
ICTV19991653	VMR1000017	E	1		AJ344259			18	1	AJ344259		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Icerudivirus		Icerudivirus hveragerdiense	Sulfolobus islandicus rod-shaped virus 2
ICTV19972219	VMR1000016	E	1		AJ414696			19	1	AJ414696		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Icerudivirus		Icerudivirus kverkfjoellense	Sulfolobus islandicus rod-shaped virus 1
ICTV20084855	VMR1000019	E	1		AJ875026			20	1	AJ875026		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Itarudivirus		Itarudivirus pozzuoliense	Acidianus rod-shaped virus 1
ICTV202011721	VMR1000020	E	1		MK064565			21	1	MK064565		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Japarudivirus		Japarudivirus beppuense	Sulfolobales Beppu rod-shaped virus 1
ICTV202011722	VMR1000021	E	1		JX944686			22	1	JX944686		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Mexirudivirus		Mexirudivirus azufresense	Sulfolobales Mexican rod-shaped virus 1
ICTV202011714	VMR1000022	E	1		KY744230			23	1	KY744230		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus acidum	Sulfolobus islandicus rod-shaped virus 10
ICTV202011713	VMR1000027	E	1		KY744228			24	1	KY744228		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus aestus	Sulfolobus islandicus rod-shaped virus 9
ICTV202011712	VMR1000026	E	1		KY744229			25	1	KY744229		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus caloris	Sulfolobus islandicus rod-shaped virus 8
ICTV202011715	VMR1000023	E	1		KY744234			26	1	KY744234		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus dryadis	Sulfolobus islandicus rod-shaped virus 11
ICTV202011711	VMR1000025	E	1		KY744233			27	1	KY744233		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus nymphense	Sulfolobus islandicus rod-shaped virus 5
ICTV202011710	VMR1000024	E	1		KY744231			28	1	KY744231		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus yellowstonense	Sulfolobus islandicus rod-shaped virus 4
ICTV20041366	VMR1000028	E	1		AJ567472			29	1	AJ567472		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Ungulaviridae		Captovirus		Captovirus yellowstonense	Acidianus filamentous virus 1
ICTV202214297	VMR1000029	E	1		OP413840			30	1	OP413840		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Maximonvirales		Ahmunviridae		Yumkaaxvirus		Yumkaaxvirus pescaderoense	Methanophagales virus PBV300
ICTV20165504	VMR1000030	E	1		KU307456			31	1	KU307456		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Primavirales		Tristromaviridae		Alphatristromavirus		Alphatristromavirus pozzuoliense	Pyrobaculum filamentous virus 1
ICTV202012054	VMR1000031	E	1		MN876844			32	1	MN876844		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Primavirales		Tristromaviridae		Alphatristromavirus		Alphatristromavirus puteoliense	Pyrobaculum filamentous virus 2
ICTV19871208	VMR1000032	E	1		X14855			33	1	X14855		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Primavirales		Tristromaviridae		Betatristromavirus		Betatristromavirus kraflaense	Thermoproteus tenax virus 1
ICTV20093038	VMR1000033	E	1		DQ665917			34	1	DQ665917		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Batravirus		Batravirus ranidallo1	Lucké tumor herpesvirus; ranid herpesvirus 1
ICTV20093039	VMR1000034	E	1		DQ665652			35	1	DQ665652		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Batravirus		Batravirus ranidallo2	frog virus 4; ranid herpesvirus 2
ICTV20175570	VMR1000035	E	1		KX832224			36	1	KX832224		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Batravirus		Batravirus ranidallo3	ranid herpesvirus 3
ICTV20115694	VMR1000036	E	1		FJ940765			37	1	FJ940765		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyvirus		Cyvirus anguillidallo1	Japanese eel herpesvirus; anguillid herpesvirus 1
ICTV20093040	VMR1000037	E	1		JQ815363			38	1	JQ815363		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyvirus		Cyvirus cyprinidallo1	carp pox herpesvirus; cyprinid herpesvirus 1
ICTV20093041	VMR1000038	E	1		JQ815364			39	1	JQ815364		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyvirus		Cyvirus cyprinidallo2	goldfish hematopoietic necrosis virus; cyprinid herpesvirus 2
ICTV20083037	VMR1000039	E	1		DQ657948			40	1	DQ657948		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyvirus		Cyvirus cyprinidallo3	koi herpesvirus; cyprinid herpesvirus 3
ICTV20093043	VMR1000040	E	1		FJ815289			41	1	FJ815289		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Ictavirus		Ictavirus acipenseridallo2	white sturgeon herpesvirus 2; acipenserid herpesvirus 2
ICTV19981539	VMR1000041	E	1		M75136			42	1	M75136		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Ictavirus		Ictavirus ictaluridallo1	channel catfish virus; ictalurid herpesvirus 1
ICTV20093045	VMR1000042	E	1		MG271984			43	1	MG271984		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Ictavirus		Ictavirus ictaluridallo2	black bullhead herpesvirus; ictalurid herpesvirus 2
ICTV20093046	VMR1000043	E	1		AF023673			44	1	AF023673		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Salmovirus		Salmovirus salmonidallo1	herpesvirus salmonis; salmonid herpesvirus 1
ICTV20093047	VMR1000044	E	1		EU349274			45	1	EU349274		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Salmovirus		Salmovirus salmonidallo2	Oncorhyncus masou herpesvirus; salmonid herpesvirus 2
ICTV20095288	VMR1000045	E	1		EU349277			46	1	EU349277		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Salmovirus		Salmovirus salmonidallo3	epizootic epitheliotropic disease virus; salmonid herpesvirus 3
ICTV20125911	VMR1000046	E	1		JX453331			47	1	JX453331		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Malacoherpesviridae		Aurivirus		Aurivirus haliotidmalaco1	abalone herpesvirus; haliotid herpesvirus 1
ICTV20083116	VMR1000047	E	1		AY509253			48	1	AY509253		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Malacoherpesviridae		Ostreavirus		Ostreavirus ostreidmalaco1	oyster herpesvirus; ostreid herpesvirus 1
ICTV202214013	VMR1000048	E	1		MK360902			49	1	MK360902		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Iltovirus		Iltovirus cacatuidalpha2	cacatuid alphaherpesvirus 2
ICTV19951033	VMR1000049	E	1		JN596962			50	1	JN596962		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Iltovirus		Iltovirus gallidalpha1	gallid alphaherpesvirus 1; infectious laryngotracheitis virus
ICTV20073819	VMR1000050	E	1		AY372243			51	1	AY372243		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Iltovirus		Iltovirus psittacidalpha1	psittacid alphaherpesvirus 1; Pacheco's disease virus
ICTV202214014	VMR1000051	E	1		MK955929			52	1	MK955929		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Iltovirus		Iltovirus psittacidalpha5	psittacid alphaherpesvirus 5
ICTV20115693	VMR1000052	E	1		JF999965			53	1	JF999965		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus anatidalpha1	anatid alphaherpesvirus 1; duck enteritis virus
ICTV20083040	VMR1000053	E	1		KX589235			54	1	KX589235		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus columbidalpha1	columbid alphaherpesvirus 1; pigeon herpesvirus
ICTV19981472	VMR1000054	E	1		AF243438			55	1	AF243438		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus gallidalpha2	gallid alphaherpesvirus 2; Marek's disease virus
ICTV19981473	VMR1000055	E	1		HQ840738			56	1	HQ840738		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus gallidalpha3	gallid alphaherpesvirus 3; gallid herpesvirus 3
ICTV19951077	VMR1000056	E	1		AF291866			57	1	AF291866		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus meleagridalpha1	meleagrid alphaherpesvirus 1; turkey herpesvirus
ICTV201856397	VMR1000057	E	1		LT608135			58	1	LT608135		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus spheniscidalpha1	spheniscid alphaherpesvirus 1
ICTV20083054	VMR1000058	E	1		HQ878327			59	1	HQ878327		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Scutavirus		Scutavirus chelonidalpha5	chelonid alphaherpesvirus 5; fibropapilloma-associated turtle herpesvirus
ICTV201856398	VMR1000059	E	1		KM924292			60	1	KM924292		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Scutavirus		Scutavirus testudinidalpha3	testudinid alphaherpesvirus 3; testudinid herpesvirus 3
ICTV19951019	VMR1000060	E	1		KY385637			61	1	KY385637		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus atelinealpha1	ateline alphaherpesvirus 1; herpesvirus ateles 1
ICTV19790328	VMR1000061	E	1		MT862163			62	1	MT862163		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus bovinealpha2	bovine alphaherpesvirus 2; bovine mammillitis virus
ICTV19951023	VMR1000062	E	1		AY714813			63	1	AY714813		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus cercopithecinealpha2	cercopithecine alphaherpesvirus 2; simian agent 8
ICTV19710176	VMR1000063	E	1		JN555585			64	1	JN555585		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus humanalpha1	human alphaherpesvirus 1; herpes simplex virus 1
ICTV19760237	VMR1000064	E	1		JN561323			65	1	JN561323		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus humanalpha2	human alphaherpesvirus 2; herpes simplex virus 2
ICTV20093863	VMR1000065	E	1		JQ596859			66	1	JQ596859		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus leporidalpha4	leporid alphaherpesvirus 4; leporid herpesvirus 4
ICTV19951015	VMR1000066	E	1		AF533768			67	1	AF533768		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus macacinealpha1	macacine alphaherpesvirus 1; B-virus
ICTV202008779	VMR1000067	E	1		KY628968			68	1	KY628968		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus macacinealpha2	macacine alphaherpesvirus 2; lion-tailed macaque herpesvirus 1
ICTV202008780	VMR1000068	E	1		KY628970			69	1	KY628970		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus macacinealpha3	macacine alphaherpesvirus 3; pig-tailed macaque herpesvirus 1
ICTV20041256	VMR1000069	E	1		KT594769			70	1	KT594769		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus macropodidalpha1	macropodid alphaherpesvirus 1; Parma wallaby herpesvirus
ICTV20041257	VMR1000070	E	1		MT900475			71	1	MT900475		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus macropodidalpha2	macropodid alphaherpesvirus 2; Dorcopsis wallaby herpesvirus
ICTV202214015	VMR1000071	E	1		MT900474			72	1	MT900474		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus macropodidalpha4	macropodid alphaherpesvirus 4
ICTV20150869	VMR1000072	E	1		JQ360576			73	1	JQ360576		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus paninealpha3	panine alphaherpesvirus 3; chimpanzee herpesvirus
ICTV19990975	VMR1000073	E	1		DQ149153			74	1	DQ149153		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus papiinealpha2	papiine alphaherpesvirus 2; herpesvirus papio 2
ICTV201856395	VMR1000074	E	1		AB825953			75	1	AB825953		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus pteropodidalpha1	pteropodid alphaherpesvirus 1; fruit bat alphaherpesvirus 1
ICTV202214016	VMR1000075	E	1		LC492974			76	1	LC492974		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus pteropodidalpha2	pteropodid alphaherpesvirus 2; Pteropus lylei-associated alphaherpesvirus
ICTV19951036	VMR1000076	E	1		HM625781			77	1	HM625781		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus saimiriinealpha1	saimiriine alphaherpesvirus 1; herpesvirus saimiri 1
ICTV19870546	VMR1000077	E	1		JX898220			78	1	JX898220		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus bovinealpha1	bovine alphaherpesvirus 1; infectious bovine rhinotracheitis virus
ICTV19951020	VMR1000078	E	1		AY261359			79	1	AY261359		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus bovinealpha5	bovine alphaherpesvirus 5; bovine encephalitis herpesvirus
ICTV19990982	VMR1000079	E	1		KU936049			80	1	KU936049		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus bubalinealpha1	bubaline alphaherpesvirus 1; water buffalo herpesvirus
ICTV19951021	VMR1000080	E	1		KT819633			81	1	KT819633		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus canidalpha1	canid alphaherpesvirus 1; canine herpesvirus
ICTV19951022	VMR1000081	E	1		MG989243			82	1	MG989243		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus caprinealpha1	caprine alphaherpesvirus 1; goat herpesvirus
ICTV19951026	VMR1000082	E	1		AF275348			83	1	AF275348		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus cercopithecinealpha9	cercopithecine alphaherpesvirus 9; simian varicella virus
ICTV19951027	VMR1000083	E	1		MH036942			84	1	MH036942		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus cervidalpha1	cervid alphaherpesvirus 1; red deer herpesvirus
ICTV19951028	VMR1000084	E	1		MH036943			85	1	MH036943		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus cervidalpha2	cervid alphaherpesvirus 2; reindeer herpesvirus
ICTV202009143	VMR1000085	E	1		MH036941			86	1	MH036941		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus cervidalpha3	cervid alphaherpesvirus 3; elk herpesvirus
ICTV19790331	VMR1000086	E	1		AY665713			87	1	AY665713		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus equidalpha1	equid alphaherpesvirus 1; equine abortion virus
ICTV20041268	VMR1000087	E	1		KM051845			88	1	KM051845		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus equidalpha3	equid alphaherpesvirus 3; equine coital exanthema virus
ICTV19870548	VMR1000088	E	1		AF030027			89	1	AF030027		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus equidalpha4	equid alphaherpesvirus 4; equine rhinopneumonitis virus
ICTV202214017	VMR1000089	E	1		MT012704			90	1	MT012704		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus equidalpha6	equid alphaherpesvirus 6; asinine herpesvirus 1
ICTV19951031	VMR1000090	E	1		MF431611			91	1	MF431611		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus equidalpha8	equid alphaherpesvirus 8; asinine herpesvirus 3
ICTV19990991	VMR1000091	E	1		AP010838			92	1	AP010838		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus equidalpha9	equid alphaherpesvirus 9; gazelle herpesvirus
ICTV19951032	VMR1000092	E	1		FJ478159			93	1	FJ478159		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus felidalpha1	felid alphaherpesvirus 1; feline viral rhinotracheitis virus
ICTV19840518	VMR1000093	E	1		X04370			94	1	X04370		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus humanalpha3	human alphaherpesvirus 3; varicella-zoster virus
ICTV201856396	VMR1000094	E	1		MF678601			95	1	MF678601		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus monodontidalpha1	monodontid alphaherpesvirus 1; beluga whale alphaherpesvirus 1
ICTV19990994	VMR1000095	E	1		MH509440			96	1	MH509440		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus phocidalpha1	phocid alphaherpesvirus 1; harbour seal herpesvirus
ICTV19790332	VMR1000096	E	1		JF797218			97	1	JF797218		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus suidalpha1	suid alphaherpesvirus 1; pseudorabies virus
ICTV20125918	VMR1000097	E	1		FJ483970			98	1	FJ483970		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Betaherpesvirinae	Cytomegalovirus		Cytomegalovirus aotinebeta1	aotine betaherpesvirus 1; owl monkey cytomegalovirus
ICTV20125920	VMR1000098	E	1		JQ264772			99	1	JQ264772		Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Betaherpesvirinae	Cytomegalovirus		Cytomegalovirus cebinebeta1	cebine betaherpesvirus 1; capuchin monkey cytomegalovirus
